site_name,site_id,date,time,depth_cm,temperature_C,latitude,longitude,northing,easting,utm_zone,geom
Grand Mesa,2N4,2020-01-28,11:25:00-06:00,86.0,-9.6,39.036292976679974,-108.21781202276733,4324488.0,740811.0,12,POINT (740811 4324488)
Grand Mesa,3N22,2020-01-28,13:55:00-06:00,100.0,-9.5,39.0322064205823,-108.18680823057217,4324117.0,743509.0,12,POINT (743509 4324117)
Grand Mesa,8N55,2020-01-28,14:25:00-06:00,81.0,-5.8,39.02901482492451,-108.14043361120899,4323888.0,747535.0,12,POINT (747535 4323888)
Grand Mesa,8N58,2020-01-28,10:54:00-06:00,94.0,-9.0,39.03039875377633,-108.13515701599877,4324056.0,747987.0,12,POINT (747987 4324056)
Grand Mesa,6N18,2020-01-28,09:13:00-06:00,92.0,-17.2,39.034038040029024,-108.19103256618956,4324309.0,743137.0,12,POINT (743137 4324309)
Grand Mesa,6N46,2020-02-01,12:24:00-06:00,97.0,-6.8,39.0281312536867,-108.15181139450891,4323759.0,746553.0,12,POINT (746553 4323759)
Grand Mesa,2S37,2020-02-01,08:40:00-06:00,104.0,-14.3,39.01925950710266,-108.15928160301324,4322754.0,745937.0,12,POINT (745937 4322754)
Grand Mesa,6C34,2020-02-01,14:26:00-06:00,104.0,-3.5,39.01214113367296,-108.15479751672983,4321976.0,746350.0,12,POINT (746350 4321976)
Grand Mesa,2S11,2020-02-01,11:00:00-06:00,100.0,-4.5,39.021580183196555,-108.19184936027756,4322924.0,743109.0,12,POINT (743109 4322924)
Grand Mesa,5N50,2020-02-01,13:40:00-06:00,82.0,-2.9,39.02940258164778,-108.14596209619498,4323916.0,747055.0,12,POINT (747055 4323916)
Grand Mesa,9S39,2020-02-01,10:20:00-06:00,101.0,-6.2,39.018430621443066,-108.15595418482278,4322671.0,746228.0,12,POINT (746228 4322671)
Grand Mesa,2N48,2020-02-01,14:51:00-06:00,97.0,-5.0,39.032228069032946,-108.14877069695852,4324222.0,746802.0,12,POINT (746802 4324222)
Grand Mesa,8N45,2020-02-01,10:51:00-06:00,109.0,-6.2,39.03089627430343,-108.15178118323439,4324066.0,746546.0,12,POINT (746546 4324066)
Grand Mesa,9S40,2020-02-01,13:20:00-06:00,83.0,-3.3,39.017509486498504,-108.15512498923314,4322571.0,746303.0,12,POINT (746303 4322571)
Grand Mesa,3S38,2020-02-01,11:18:00-06:00,108.0,-3.4,39.016805817411736,-108.15693163472304,4322488.0,746149.0,12,POINT (746149 4322488)
Grand Mesa,3S14,2020-02-01,13:20:00-06:00,103.0,-2.2,39.0192329759855,-108.18567134322784,4322680.0,743652.0,12,POINT (743652 4322680)
Grand Mesa,1S8,2020-02-01,09:00:00-06:00,74.0,-13.5,39.02165657372443,-108.19764398241607,4322917.0,742607.0,12,POINT (742607 4322917)
Grand Mesa,9N44,2020-02-01,09:06:00-06:00,143.0,-10.6,39.028745451355384,-108.15999889832058,4323805.0,745842.0,12,POINT (745842 4323805)
Grand Mesa,5S21,2020-02-01,14:30:00-06:00,110.0,-4.4,39.01934830794207,-108.17516900775229,4322721.0,744561.0,12,POINT (744561 4322721)
Grand Mesa,9C17,2020-01-30,08:57:00-06:00,70.0,-10.5,39.0399873107955,-108.19191737634242,4324967.0,743040.0,12,POINT (743040 4324967)
Grand Mesa,4N27,2020-01-30,09:14:00-06:00,107.0,-8.6,39.032732607391225,-108.1832296806403,4324185.0,743817.0,12,POINT (743817 4324185)
Grand Mesa,6N31,2020-01-30,11:30:00-06:00,102.0,-5.9,39.030364821407304,-108.17399095029515,4323947.0,744625.0,12,POINT (744625 4323947)
Grand Mesa,8C25,2020-01-30,13:30:00-06:00,72.0,-8.3,39.027677260820845,-108.17498740863385,4323646.0,744548.0,12,POINT (744548 4323646)
